# 文本key,文本value
Item_Desc_91010,"Очистите 10 слоев миазмов, холода, жары и дизентерии"
Item_Desc_91011,"Ешь, чтобы восстановить кровь на 100"
Item_Desc_91012,"Восстанавливает Кровь. Безопаснее, если пожарить перед употреблением."
Item_Desc_91013,"Приготовленное мясо. Ешьте, чтобы получить 10 порций「Регенерации крови」 "
Item_Desc_91014,"Мясо пережаренное, но все равно съедобное…"
Item_Desc_91015,Может наносить 15 слоев миазм на персонажей или интерактивные объекты
Item_Desc_91016,"Необходимый инструмент для попрошайничества. Человек может зарабатывать на жизнь, пока у него в руках разбитая миска"
Item_Desc_91017,"Ешь, чтобы вылечиться от 10 болезней"
Item_Desc_91018,"Ешь, чтобы прибавить 5 Ци"
Item_Desc_91020,"Яйцо животного происхождения. Ешьте, чтобы восстановить Кровь"
Item_Desc_91021,"Мягкий комочек. Бог знает, что случится, если его съесть…"
Item_Desc_91022,"Выпив вино, произведенное дикими обезьянами в горах, вы получите 3 слоя статуса「Пьяный」 "
Item_Desc_91023,После еды вы получите 5 уровней статуса「возобновляемой энергии」 
Item_Desc_91024,После еды вы получите 5 слоев статуса жар и 5 слоев статуса регенерация крови
Item_Desc_91025,"Съешьте, чтобы получить 5 стеков 「Холод」 и 5 стеков 「Регенерация крови」 "
Item_Desc_91026,"Съешьте, чтобы получить 5 стеков 「Ядовитый газ」 и 5 стеков 「Регенерация крови」 "
Item_Desc_91027,"Съешьте, чтобы получить 10 стеков 「Пьянство」 "
Item_Desc_91028,"Съешьте, чтобы получить 1 стек 「Прививка」 и 5 стеков Ядовитого газа"
Item_Desc_91029,"Съешьте, чтобы получить 1 стек 「Яркое зрение」 и 5 стеков Ядовитого газа"
Item_Desc_91030,"Говорят, что вы становитесь больше, если едите это."
Item_Desc_91031,"Говорят, что вы становитесь меньше, если едите это."
Item_Desc_91032,"Съешьте, чтобы получить 1 стек 「Парения」 "
Item_Desc_91033,"Съешьте, чтобы получить 1 стек 「Мудрости」 "
Item_Desc_91034,"Съешьте, чтобы получить 1 стек 「Непромокаемости」 "
Item_Desc_91035,"Съешьте, чтобы получить 1 стек 「Огнеупорности」 "
Item_Desc_91036,"Съешьте, чтобы получить 1 стек 「Непоколебимости」 "
Item_Desc_91037,"Съешьте, чтобы добавить 30 Чи"
Item_Desc_91038,"Съешьте, чтобы получить 5 стеков 「Мощь」 "
Item_Desc_91039,"Сделайте, чтобы получить 5 эффектов「Золотой колокольчик」 "
Item_Desc_91040,"Съешьте, чтобы получить 5 зарядов 「Гейла」 "
Item_Desc_91041,Вы можете изменить тип акупунктурной точки в меридианах.
Item_Desc_91042,"Съешьте, чтобы получить 3 стека 「Ядовитого газа」 "
Item_Desc_91043,"Съешьте, чтобы получить 5 стеков 「Регенерации крови」 "
Item_Desc_91044,"Съешьте, чтобы получить 10 стеков 「Регенерации крови」 "
Item_Desc_91045,"Съешьте, чтобы получить 3 стека 「Жара」 "
Item_Desc_91046,"Съешьте, чтобы получить 3 стека 「Холода」 "
Item_Desc_91047,"Съешьте, чтобы получить 3 стека 「Пьяности」 "
Item_Desc_91048,"Съешьте, чтобы восстановить 50 энергии"
Item_Desc_91050,"После использования получите 10 слоев трех богов, чтобы разделить состояние души, и количество ходов, необходимых для активации уникального обучения в битве, удваивается"
Item_Desc_91051,"После использования получите 1 слой переработки повелителя, даст 300 ци"
Item_Desc_91052,"После использования получите 1 слой ретроградного состояния небесного царя, вы сможете бесплатно активировать невыносимое обучение, а урон от вреда увеличится на 50%, но вы получите 20 скрытых болезней"
Item_Desc_91053,"После использования получите 1 слой состояния 'сломанный кишечник', что увеличит риск возникновения высокотоксичных скрытых заболеваний."
Item_Desc_91054,"После использования случайным образом отключите от 3 до 10 акупунктурных точек. Члены команды с внутренней силой более 1000 могут помочь в исцелении, сформировав командный отряд. Чем больше людей, тем быстрее процесс исцеления."
Item_Desc_91055,После использования получите 100 слоев состояния сломанного хряща сухожилия и увеличьте получаемый урон на 100%
Item_Desc_91056,"Постоянно преобразуйте убивающую Ци в случайные приём для атак, а использование Кровавой Пилюли имеет определенный шанс вызвать безумные скрытые заболевания."
Item_Desc_91064,"Съешьте, чтобы добавить 3 Чи"
Item_Desc_91066,Поместите его для хранения предметов
Item_Desc_91067,Дает шансбежать при использовании в бою
Item_Desc_91068,"С 22:00 до 4:00 ночи, используется на возвышенности, может вызвать связного Восьмиликого Черного Воробья или быть брошенным в колодец в качестве сигнала к убийству."
Item_Desc_91069,"Форма, используемая для изготовления маскировочных масок. При использовании против целей, которые не могут двигаться, вы можете получить 3 маски маскировки противника."
Item_Desc_91070,"Форма, используемая для изготовления маскировочных масок. При использовании против целей, которые не могут двигаться, вы можете получить 9 масок маскировки противника."
Item_Desc_91071,Маску из человеческой кожи {0} можно преобразовать в {1} после использования.
Item_Desc_91072,В этом списке указаны все члены текущей фракции Восьмиликого Черного Воробья.
Item_Desc_91081,Лучший из цзюцюй. Варит насыщенное
Item_Desc_91082,Превосходный цзюцюй. Варит крепкое
Item_Desc_91083,Обычный цзюцюй. Варит повседневное вино.
Item_Desc_91084,Лунный блок из персикового дерева. Имеет нежный древесный аромат.
Item_Desc_91085,Лунный блок из слоновой кости. Гладкий и элегантный
Item_Desc_91086,Лунный блок из нефрита. Безупречный выбор
Item_Desc_91087,Легенда гласит
Item_Desc_91088,В коробке размножаются токсинные черви (требуется не менее 2
Item_Desc_91089,Кейс для меча
Item_Desc_91090,После употребления восстанавливает 100 + 25% от максимального запаса Ци и крови.
Item_Desc_91091,После употребления полностью восстанавливает запас Ци и крови.
Item_Desc_92000,"Руководство, в котором записан способ приобретения [Цигун: Ветеран]"
Item_Desc_92001,"Секретная книга внутренней энергии, в которой записано, как овладеть「Кунг-фу Искусство очистки」 "
Item_Desc_92002,Руководство по навыкам
Item_Desc_92003,Руководство по навыкам
Item_Desc_92004,"Руководство по внутреннему гунфу, в котором описывается способ приобретения「Плоть, мышцы」 "
Item_Desc_92005,Руководство по навыкам
Item_Desc_92006,Руководство по навыкам
Item_Desc_92007,Руководство по навыкам
Item_Desc_92008,Используйте для получения 「Лекарство:Мудрец」 「Требование: 「Лекарство:Гуру」」 
Item_Desc_92009,"Древняя книга, в которой записано, как обрести способность менять лица"
Item_Desc_92010,"Таинственная древняя книга, в которой записан высший уровень искусства менять лица. Когда способность менять лица достигает пика, ее можно использовать для перехода на уровень полного изменения."
Item_Desc_92200,Вызывает обморок
Item_Desc_92201,Вызывает 99 стаков Дизентерии.
Item_Desc_92202,Вызывает 30 Недугов Ядовитого Газа.
Item_Desc_92203,Вызывает Ожог Чи на 3 битвы
Item_Desc_92204,Скармливание одного из Любовных Червей другим вызывает Токсин.
Item_Desc_92205,Заставляет тело светиться в течение некоторого времени.
Item_Desc_92206,Вызывает инвалидность ноги или руки.
Item_Desc_92207,Вызывает отравление газом во время движения в течение 240 секунд.
Item_Desc_92208,Увеличивает максимальный уровень духов на 20 и текущий уровень духов на 40.
Item_Desc_92209,Получает 100 неприязни к персонажу
Item_Desc_92300,Жестокий гибрид Червя смерти и Кровочервя. Жертвы испытывают мучительную боль при культивировании Ци.
Item_Desc_92301,Своеобразный гибрид Червя любви и Кровочервя. Гнездится в сердце и легких
Item_Desc_92302,Беспокойный гибрид Червя смерти и Любовника. Бродит по телу
Item_Desc_92303,Прожорливый гибрид Лампового червя и Кровавого червя. Постоянно пожирает Энергию жертвы
Item_Desc_92304,Гибрид Червя смерти и Лампового червя
Item_Desc_92305,Гибрид Лампового червя и Любовника
Item_Desc_93000,Это символ {0}「{1}」. Увидеть символ — значит увидеть его хозяина..
Item_Desc_93001,"Ключ от резиденции. Кто владеет ключом, тот владеет домом. Владелец: {0}"
Item_Desc_93002,Лошадь
Item_Desc_93003,"Карта сокровищ, ведущая к богатствам."
Item_Desc_93006,"Сертификат права собственности на резиденцию. Владелец: {0} (Не теряйте сертификат, иначе можете потерять дом.)"
Item_Desc_93007,Полуночные одеяния. Ношение их ночью значительно снижает ваши шансы быть увиденным.
Item_Desc_93008,"Получите 「Нефрит удачи」 в зависимости от количества Благословений, когда вы вернетесь к Карме. Используйте для получения новых Благословений."
Item_Desc_93009,"Познания в кунг-фу, почерпнутые в боях и тренировках. Используйте для развития навыков."
Item_Desc_93010,"Вещи покойного {0}「{1}」. Откройте, чтобы достать предметы."
Item_Desc_93011,{0} взял голову {1}! {2}
Item_Desc_93012,"В тот день, когда стало не по себе, ребенок ушел, может быть, когда-нибудь его можно будет забрать обратно, неизвестно?"
Item_Desc_93013,Таинственный ключ с вырезанными на нем узорами ворона
Item_Desc_93014,Таинственная записка
Item_Desc_93015,Учебный манекен
Item_Desc_93016,"Секретный костяной свисток Виллы десяти тысяч зверей можно использовать для управления животными после того, как его протрубили, чтобы они могли собирать ресурсы для собственных нужд. "
Item_Desc_94000,Руководство по внутреннему кунг-фу
Item_Desc_94001,Руководство по внутреннему кунг-фу
Item_Desc_94002,Руководство по внутреннему кунг-фу
Item_Desc_94003,Руководство по внутреннему кунг-фу
Item_Desc_94004,Руководство по внутреннему кунг-фу
Item_Desc_94005,Руководство по внутреннему кунг-фу
Item_Desc_94006,Руководство по внутреннему кунг-фу
Item_Desc_94007,Руководство по внутреннему кунг-фу
Item_Desc_94008,Руководство по внутреннему кунг-фу
Item_Desc_94009,Руководство по внутреннему кунг-фу
Item_Desc_94010,Руководство по внутреннему кунг-фу
Item_Desc_94011,Руководство по внутреннему кунг-фу
Item_Desc_94012,Руководство по внутреннему кунг-фу
Item_Desc_94013,Руководство по внутреннему кунг-фу
Item_Desc_94014,Руководство по внутреннему кунг-фу
Item_Desc_94015,Руководство по внутреннему кунг-фу
Item_Desc_94016,Руководство по внутреннему кунг-фу
Item_Desc_94017,Руководство по внутреннему кунг-фу
Item_Desc_94018,Руководство по внутреннему кунг-фу
Item_Desc_94019,Руководство по внутреннему кунг-фу
Item_Desc_94020,Руководство по внутреннему кунг-фу
Item_Desc_94021,Руководство по внутреннему кунг-фу
Item_Desc_94022,Руководство по внутреннему кунг-фу
Item_Desc_94023,Руководство по внутреннему кунг-фу
Item_Desc_94024,Руководство по внутреннему кунг-фу
Item_Desc_94025,Руководство по внутреннему кунг-фу
Item_Desc_94026,Руководство по внутреннему кунг-фу
Item_Desc_94027,Руководство по внутреннему кунг-фу
Item_Desc_94028,Руководство по внутреннему кунг-фу
Item_Desc_94029,Руководство по внутреннему кунг-фу
Item_Desc_94030,Руководство по внутреннему кунг-фу
Item_Desc_94031,Руководство по внутреннему кунг-фу
Item_Desc_94032,Руководство по внутреннему кунг-фу
Item_Desc_94033,Руководство по внутреннему кунг-фу
Item_Desc_94034,"Руководство по навыкам, в котором записан способ получения 「некомпетентности」 "
Item_Desc_94035,"Руководство по навыкам, в котором записан способ получения 「Технику убийства Вечной ночи」 "
Item_Desc_94036,Руководство по навыкам
Item_Desc_94037,Руководство по навыкам
Item_Desc_94038,Руководство по навыкам
Item_Desc_94039,Руководство по навыкам
Item_Desc_94040,Руководство по навыкам
Item_Desc_94041,"Секретное руководство, содержащее инструкции о том, как приобрести внутреннее кунгфу, светящееся нефритовое писание."
Item_Desc_94042,"Секретное руководство, содержащее инструкции о том, как приобрести внутреннюю форму Кунгфу, Дракона."
Item_Desc_95000,Руководство по навыкам
Item_Desc_95001,Руководство по навыкам
Item_Desc_95002,Руководство по навыкам
Item_Desc_95003,Руководство по навыкам
Item_Desc_95004,Руководство по навыкам
Item_Desc_95005,Руководство по навыкам
Item_Desc_95006,Руководство по навыкам
Item_Desc_95007,Руководство по навыкам
Item_Desc_95008,Руководство по навыкам
Item_Desc_95009,Руководство по навыкам
Item_Desc_95010,Руководство по навыкам
Item_Desc_95011,Руководство по навыкам
Item_Desc_95012,Руководство по навыкам
Item_Desc_95013,Руководство по навыкам
Item_Desc_95014,Руководство по навыкам
Item_Desc_95015,Руководство по навыкам
Item_Desc_95016,Руководство по навыкам
Item_Desc_95017,Руководство по навыкам
Item_Desc_95018,Руководство по навыкам
Item_Desc_95019,Руководство по навыкам
Item_Desc_95020,Руководство по навыкам
Item_Desc_95021,Руководство по навыкам
Item_Desc_95022,Руководство по навыкам
Item_Desc_95023,Руководство по навыкам
Item_Desc_95024,Руководство по навыкам
Item_Desc_95025,Руководство по навыкам
Item_Desc_95026,Руководство по навыкам
Item_Desc_95027,Руководство по навыкам
Item_Desc_95028,Руководство по навыкам
Item_Desc_95029,Руководство по навыкам
Item_Desc_95030,Руководство по навыкам
Item_Desc_95031,Руководство по навыкам
Item_Desc_95032,Руководство по навыкам
Item_Desc_95033,Руководство по навыкам
Item_Desc_95034,Руководство по навыкам
Item_Desc_95035,Руководство по навыкам
Item_Desc_95036,Руководство по навыкам
Item_Desc_95037,Руководство по навыкам
Item_Desc_95038,Руководство по навыкам
Item_Desc_95039,Руководство по навыкам
Item_Desc_95040,Руководство по навыкам
Item_Desc_95041,Руководство по навыкам
Item_Desc_95042,Руководство по навыкам
Item_Desc_95043,Руководство по навыкам
Item_Desc_95044,Руководство по навыкам
Item_Desc_95045,Руководство по навыкам
Item_Desc_95046,Руководство по навыкам
Item_Desc_95047,Руководство по навыкам
Item_Desc_95048,Руководство по навыкам
Item_Desc_95049,Руководство по навыкам
Item_Desc_95050,Руководство по навыкам
Item_Desc_95051,Руководство по навыкам
Item_Desc_95052,Руководство по навыкам
Item_Desc_95053,Руководство по навыкам
Item_Desc_95054,Руководство по навыкам
Item_Desc_95055,Руководство по навыкам
Item_Desc_95056,Руководство по навыкам
Item_Desc_95057,Руководство по навыкам
Item_Desc_95058,Руководство по навыкам
Item_Desc_95059,Руководство по навыкам
Item_Desc_95060,Руководство по навыкам
Item_Desc_95061,Руководство по навыкам
Item_Desc_95062,Руководство по навыкам
Item_Desc_95063,Руководство по навыкам
Item_Desc_95064,Руководство по навыкам
Item_Desc_95065,Руководство по навыкам
Item_Desc_95066,Руководство по навыкам
Item_Desc_95067,Руководство по навыкам
Item_Desc_95068,Руководство по навыкам
Item_Desc_95069,Руководство по навыкам
Item_Desc_95070,Руководство по навыкам
Item_Desc_95071,Руководство по навыкам
Item_Desc_95072,Руководство по навыкам
Item_Desc_95073,Руководство по навыкам
Item_Desc_95074,Руководство по навыкам
Item_Desc_95075,Руководство по навыкам
Item_Desc_95076,Руководство по навыкам
Item_Desc_95077,Руководство по навыкам
Item_Desc_95078,Руководство по навыкам
Item_Desc_95079,Руководство по навыкам
Item_Desc_95080,Руководство по навыкам
Item_Desc_95081,Руководство по навыкам
Item_Desc_95082,Руководство по навыкам
Item_Desc_95083,Руководство по навыкам
Item_Desc_95084,Книга с описанием техники «Тёмный раскол ноги».
Item_Desc_95085,Книга с описанием техники «Смертельное увядание души».
Item_Desc_95086,"Секретное руководство, содержащее инструкции о том, как приобрести навык Storm Sword."
Item_Desc_95087,"Секретное руководство, содержащее инструкции о том, как приобрести навык Drifting Lotus Sword."
Item_Desc_95088,"Секретное руководство, содержащее инструкции о том, как приобрести навык Рева льва."
Item_Desc_95089,"Секретное руководство, содержащее инструкции о том, как приобрести навык души пожирания."
Item_Desc_96000,Открывает материал для Продвинутых кулинарных формул (продается у Прилавка).
Item_Desc_96001,Материал для создания Продвинутых приспособлений (продается у Прилавка).
Item_Desc_96002,Открывает материал для ковки Легендарного оружия и скрытым оружием (продается у Прилавка).
Item_Desc_96003,Открывает материал для ткачества Легендарной одежды (продается у Прилавка).
Item_Desc_96004,Материал для изготовления Продвинутых зелий (продается у Прилавка).
Item_Desc_96005,Рецепт 「Неисполненной Судьбы」 и 「Запеканки из драконьей змеи」 
Item_Desc_96006,Руководство по детализации [Навыки ковки эксперта]. Разблокирует ограничения по уровню.
Item_Desc_96007,Руководство по детализации [Навыки ковки ветерана]. Разблокирует ограничения по уровню.
Item_Desc_96008,Руководство по детализации [Навыки ковки мастера]. Разблокирует ограничения по уровню.
Item_Desc_96009,Руководство по детализации [Навыки ковки Гуру]. Разблокирует ограничения по уровню.
Item_Desc_96010,Руководство по детализации [Навыки ковки мудреца]. Разблокирует ограничения по уровню.
Item_Desc_96011,Руководство по детализации [Навыки геомантии мудреца]. Разблокирует ограничения по уровню.
Item_Desc_96012,Руководство по детализации [Навыки зельеварения мудреца]. Разблокирует ограничения по уровню.
Item_Desc_96013,Руководство по детализации [Навыки ткачества мудреца]. Разблокирует ограничения по уровню.
Item_Desc_96014,Руководство по детализации [Навыки ремесла мудреца]. Разблокирует ограничения по уровню.
Item_Desc_96015,Руководство по детализации [Навыки создания мудреца]. Разблокирует ограничения по уровню.
Item_Desc_96016,Руководство по детализации [Навыки кулинарии мудреца]. Разблокирует ограничения по уровню.
Item_Desc_96017,Руководство по детализации [Навыки музыки мудреца]. Разблокирует ограничения по уровню.
Item_Desc_96018,Руководство по детализации [Навыки попрошайничества мудреца]. Разблокирует ограничения по уровню.
Item_Desc_96019,Руководство по детализации [Навыки скрытности мудреца]. Разблокирует ограничения по уровню.
Item_Desc_96020,Руководство с подробным описанием [Техники мудреца]. Снимает ограничения по уровню.
Item_Desc_96021,Руководство с подробным описанием [Ходьба по стене мудреца]. Снимает ограничения по уровню.
Item_Desc_96022,Книга опыта
Item_Desc_96201,Книга с описанием обратных техник Внутреннего кунгфу.
Item_Desc_96202,Книга с описанием обратных техник Внутреннего кунгфу.
Item_Desc_96203,Книга с описанием обратных техник Внутреннего кунгфу.
Item_Desc_96204,Книга с описанием обратных техник Внутреннего кунгфу.
Item_Desc_96205,Книга с описанием обратных техник Внутреннего кунгфу.
Item_Desc_96206,Книга с описанием обратных техник Внутреннего кунгфу.
Item_Desc_96207,Книга
Item_Desc_96208,Книга
Item_Desc_96209,Книга
Item_Desc_96210,Книга
Item_Desc_96211,Книга
Item_Desc_96212,Книга
Item_Desc_96213,Книга
Item_Desc_96214,Книга
Item_Desc_96215,Книга
Item_Desc_97000,「Мотив Gong」 течет грациозно
Item_Desc_97001,「Мотив Shang」 несет в себе нотку печали
Item_Desc_97002,「Мотив Jue」: мир процветает
Item_Desc_97003,「Мотив Zhi」 оптимистичен и жив
Item_Desc_97004,「Мотив Yu」 убаюкивает слушателей своей успокаивающей мелодией
Item_Desc_98001,"「Размещаемый」 Примите ванну, чтобы восстановить кровь/энергию и вылечить недуги. Люди могут платить за релаксацию или лечение"
Item_Desc_98002,「Размещаемый」 Место для ковки оружия и скрытым оружием. Более высокая ковка дает более высокий шанс производства высококачественного оружия за счет большего количества потребляемых ресурсов.
Item_Desc_98003,「Размещаемый」 Предлагает освещение
Item_Desc_98004,"「Размещаемый」 Делайте пожертвования, чтобы уменьшить Несчастье. Люди могут заплатить, чтобы уменьшить Несчастье."
Item_Desc_98005,"「Размещаемый」 Спи здесь, чтобы восстановить Кровь"
Item_Desc_98006,「Размещаемый」 Задерживает врагов
Item_Desc_98007,"「Размещаемый」 Место для приготовления пищи. Более высокий уровень кулинарии позволяет готовить еду более высокого качества. Вы также можете применять статусы к кострам, чтобы соответствовать требованиям продвинутых рецептов."
Item_Desc_98008,「Размещаемый」 Помогает вам тренировать техники и знания кунг-фу
Item_Desc_98009,「Размещаемый」 Место для изготовления зелий. Более высокий уровень Пиявки позволяет вам создавать более сложные зелья.
Item_Desc_98010,「Размещаемый」 Место для продажи Оружия/скрытым оружием. Здесь можно купить мощное снаряжение.
Item_Desc_98011,「Размещаемый」 Место для продажи еды и напитков. Здесь можно купить прохладительные напитки.
Item_Desc_98012,"「Размещаемый」 Простой деревянный стол на четверых. Люди могут заплатить, чтобы расслабиться здесь."
Item_Desc_98013,"「Размещаемый」 Роскошный винный стол на двоих. Люди могут заплатить, чтобы расслабиться здесь."
Item_Desc_98014,「Размещаемый」 Воспроизведение музыки на Чжэне
Item_Desc_98015,"「Размещаемый」 Спи здесь, чтобы восстановить Кровь"
Item_Desc_98016,"「Размещаемый」 Место, где можно прятаться и набирать воду"
Item_Desc_98017,「Размещаемый」 Место для продажи зелий. Люди могут покупать нужные им зелья.
Item_Desc_98018,「Размещаемый」 Место ожидания исцеления. Люди могут платить за его использование.
Item_Desc_98019,「Размещаемый」 Хранит сувениры. Здесь можно купить сокровища.
Item_Desc_98020,「Размещаемый」 Хранит материалы и товары. Здесь можно купить материалы.
Item_Desc_98021,"「Размещаемый」 Место для продажи шляп, топов и брюк. Здесь можно купить мощное снаряжение."
Item_Desc_98022,「Размещаемый」 Хранит предметы
Item_Desc_98023,「Размещаемый」 Символ власти 
Item_Desc_98024,"「Размещаемый」 Место для молитв. Вы зарабатываете деньги, когда кто-то молится здесь."
Item_Desc_98025,"「Размещаемый」 Место для плетения шляп, топов и брюк. Более высокое ткачество дает более высокий шанс производства высококачественные наряды, за счет большего потребления ресурсов."
Item_Desc_98026,"「Размещаемый」 Место, где можно продавать лошадей и путешествовать вдаль"
Item_Desc_98027,"「Размещаемый」 Место для посадки трав. Используйте какашки в качестве удобрения, чтобы ускорить рост."
Item_Desc_98028,「Размещаемый」 Место для раскопок материалов
Item_Desc_98029,「Размещаемый」 Скромное жилище
Item_Desc_98030,「Размещаемый」 Место для размещения комиссий
Item_Desc_98031,"「Размещаемый」 Место для хранения руководств по навыкам и руководств по внутреннему гунфу. Люди могут покупать руководства, чтобы улучшить себя."
Item_Desc_98032,「Размещаемый」 может защитить от злоумышленников и позволить фильтровать цели атаки
Item_Desc_98033,「Размещаемый」 Место для продажи всяких приспособлений. Здесь можно купить устройства.
Item_Desc_98034,"「Размещаемый」 символ секты. В каждом регионе допускается только один. Если флаги секты удаляются из мира, секта уничтожается."
Item_Desc_98035,「Размещаемый」 Декоративное сооружение
Item_Desc_98036,「Размещаемый」 Декоративное сооружение
Item_Desc_98037,「Размещаемый」 Декоративное сооружение
Item_Desc_98038,「Размещаемый」 Сооружение
Item_Desc_98039,「Размещаемый」 Простое оборонительное сооружение
Item_Desc_98040,「Размещаемый」 Простое оборонительное сооружение
Item_Desc_98041,「Размещаемый」 Декоративное сооружение
Item_Desc_98042,「Размещаемый」 Сооружение для выращивания животных in
Item_Desc_98043,「Размещаемый」 Декоративное сооружение
Item_Desc_98044,「Размещаемый」 Декоративные ворота
Item_Desc_98045,「Размещаемый」 Декоративные ворота
Item_Desc_98046,「Размещаемый」 Декоративные ворота
Item_Desc_98047,「Размещаемый」 Декоративные ворота
Item_Desc_98048,「Размещаемый」 Декоративное сооружение
Item_Desc_98049,「Размещаемый」 Декоративное сооружение
Item_Desc_98050,「Размещаемый」 Декоративное объект
Item_Desc_98051,「Размещаемый」 Декоративный объект
Item_Desc_98052,「Размещаемый」 Декоративный объект
Item_Desc_98053,「Размещаемый」 Декоративный объект
Item_Desc_98054,「Размещаемый」 Декоративный объект
Item_Desc_98055,「Размещаемый」 Декоративный объект
Item_Desc_98056,「Размещаемый」 Декоративный объект
Item_Desc_98057,「Размещаемый」 Декоративный объект
Item_Desc_98058,「Размещаемый」 Декоративный средство
Item_Desc_98059,「Размещаемый」 Вывеска павильона Ланья
Item_Desc_98060,「Размещаемый」 Вывеска конюшни
Item_Desc_98061,「Размещаемый」 Вывеска магазина тканей
Item_Desc_98062,「Размещаемый」 Вывеска таверны
Item_Desc_98063,「Размещаемый」 Вывеска музыкального дома
Item_Desc_98064,「Размещаемый」 Вывеска весны
Item_Desc_98065,「Размещаемый」 Вывеска клиники
Item_Desc_98066,「Размещаемый」 Вывеска Кузни
Item_Desc_98067,「Размещаемый」 Петарды
Item_Desc_98071,"「Размещаемый」 Стул, где часто сидит Императорская Охрана"
Item_Desc_98072,
Item_Desc_98074,「Размещаемый」 Собирайте сырье в лесу.
Item_Desc_98078,Сделан из красной меди. Более эффективен для практики кунг-фу
Item_Desc_98079,Сделан из очищенного железа. Более эффективен для практики кунг-фу
Item_Desc_98080,Свиток к [Культу пяти драконов] в Долине хребта дракона. Открывает участок [Долина хребта дракона].
Item_Desc_98081,Свиток к [Секте миллибистов] на горе миллибист. Открывает участок [Гора миллибист].
Item_Desc_98082,Свиток пути к [Секте Меча Оро] на горе Бейман. Открывает участок [Гора Бейман].
Item_Desc_98083,Свиток пути к [Долине Бога Огня] в ущелье Рубиклифф. Открывает участок [Ущелье Рубиклифф].
Item_Desc_98084,Свиток пути к [Бамбуковому пруду]. Открывает участок [Бамбуковый пруд].
Item_Desc_98085,Свиток пути к [Культу Тени Пустоты] в Тенистом ущелье. Открывает участок [Тенистое ущелье].
Item_Desc_98086,Свиток пути к [Спириатрическому сеансу] в Норе Девяти Волков. Открывает участок [Нора Девяти Волков].
Item_Desc_98087,Свиток путиl в [Пьяный бессмертный гостиной] на Пьяное бессмертное озеро. Открывает участок [Drunken Immortal Lake].
Item_Desc_98088,Свиток пути в [Beggar Gang] на Miles Gang. Открывает участок [Miles Gang].
Item_Desc_98089,Свиток пути в [LinLang Swordhouse]. Открывает участок [LinLang Swordhouse].
Item_Desc_98090,Свиток путив [Ezoteric Buddhist Sect] на Buddha Rock. Открывает участок [Buddha Rock].
Item_Desc_98091,Свиток пути к [Skyforge Pavilion] на Утесе Повелителя Драконов. Открывает участок [Утес Повелителя Драконов].
Item_Desc_98092,Свиток пути к [Kungfu Contest]. Открывает участок [Kungfu Contest].
Item_Desc_98093,Жетон представляет чемпиона
Item_Desc_98094,Свиток пути к [Iron Robe Alliance]. Открывает участок Iron Robe Alliance.
Item_Desc_98095,Пройти в [Павильон меча Тянья]
Item_Desc_98096,Пройти в [Дворец Цзюэтянь]
Item_Desc_98097,Пройти в [Шаолинь]
Item_Desc_98098,Загадочная брошюра
Item_Desc_98099,"Бросьте на токен священной жабы и используйте его на зараженной жабам земле, чтобы найти его местоположение."
Item_Desc_98100,"Оставьте знак героя «Ящерица демона» и используйте его в лавовой земле пожарной ящерицы, чтобы найти его местонахождение."
Item_Desc_98101,"Вызовте дар дракона и используйте его на холодной земле, наполненной драконами, чтобы найти его местоположение."
Item_Desc_98102,В знак встречи с крупным банкиром можно использовать в городе Лонгкван.
Item_Desc_98103,"Это токен для бросания в отставку.Пожалуйста, используйте его на Mount Millibeast."
Item_Desc_98104,"Это знак для оспаривания исполнителя Jiangnan.Пожалуйста, используйте его на Mount Millibeast."
Item_Desc_98105,"Это токен для бросания в борьбу с мастером оружия.Пожалуйста, используйте его на Mount Millibeast."
Item_Desc_98106,"Это знак для того, чтобы бросить вызов королю трудоголиков.Пожалуйста, используйте его на Mount Millibeast."
Item_Desc_98107,"Это знак для того, чтобы бросить вызов мастеру чая.Пожалуйста, используйте его на Mount Millibeast."
Item_Desc_98108,"Это знак для бросания в срок.Пожалуйста, используйте его на Mount Millibeast."
Item_Desc_98109,"Это токен для вызовов навсегда занявшего второе место.Пожалуйста, используйте его на Mount Millibeast."
Item_Desc_98110,"Это знак для того, чтобы бросить вызов боевому чемпиону.Пожалуйста, используйте его на Mount Millibeast."
Item_Desc_98111,"Это токен для бросания в срок куриного пирога.Пожалуйста, используйте его на Mount Millibeast."
Item_Desc_98112,"Это знак для оспаривания Джи Дайана.Пожалуйста, используйте его на Mount Millibeast."
Item_Desc_98113,"Это токен для бросания в борьбу с Beast Duel King.Пожалуйста, используйте его на Mount Millibeast."
Item_Desc_99999,тестовый предмет
Item_Include_Item,Содержимое
Item_Move_Item,Переместить предметы
Item_My_Item,Мои предметы
Item_Name_100001,Формула двойной девятки
Item_Name_100002,Формула нефритового пестика
Item_Name_100003,Формула желтой весны
Item_Name_100004,Формула дома гармонии
Item_Name_100005,Формула жемчужной весны
Item_Name_100006,Формула цветочной росы
Item_Name_100007,Формула весны Пэнлай
